"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","7.1","","","","1"
"2020-12","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","7.4","","","","1"
"2020-01","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","6.5","","","","1"
"2020-02","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","6.7","","","","1"
"2020-03","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","7.1","","","","1"
"2020-04","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","9.2","","","","1"
"2020-05","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","10.6","","","","1"
"2020-06","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","11.7","","","","1"
"2020-07","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","10.7","","","","1"
"2020-08","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","10.3","","","","1"
"2020-09","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","8.6","","","","1"
"2020-10","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","8.0","","","","1"
"2020-11","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","6.4","","","","1"
"2020-12","Halifax, Nova Scotia","2011S0503205","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445843","6.5.1.2","7.1","","","","1"
"2020-01","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","7.7","","","","1"
"2020-02","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","8.0","","","","1"
"2020-03","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","9.2","","","","1"
"2020-04","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","11.2","","","","1"
"2020-05","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","12.9","","","","1"
"2020-06","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","12.4","","","","1"
"2020-07","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","10.4","","","","1"
"2020-08","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","9.3","","","","1"
"2020-09","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","9.1","","","","1"
"2020-10","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","8.8","","","","1"
"2020-11","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","8.6","","","","1"
"2020-12","New Brunswick","2016A000213","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445857","7.5.1.2","8.7","","","","1"
"2020-01","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","5.0","","","","1"
"2020-02","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","5.5","","","","1"
